name	model_id	stable_id	recipe_revision_sha256	status	n_ops	validate_metadata_ok	scope	elapsed	dependency_cluster	error	graph_shape_hash
espnet_transformer_decoder	9932	m4777	282f6149fc9b00c808f380594be8579e6d3d8dc3c8690671dec44a2f695bc656	skipped:dependency_unavailable	0	false	forward	0.000	espnet2	dependency missing and --no-install-deps set: espnet2
espnet_transformer_encoder	9933	m4778	b59b3e46867e6c1828c51365a6010d8bdfd123e4a1ee5607f8d2d5f6b40ec7c5	skipped:dependency_unavailable	0	false	forward	0.000	espnet2	dependency missing and --no-install-deps set: espnet2
espnet_transformer_tts	9934	m4779	171c02ae0beb5110b4d9e8d3a290d38f3b6e63deffcb21c037f16b3a74c067a6	skipped:dependency_unavailable	0	false	forward	0.000	espnet2	dependency missing and --no-install-deps set: espnet2
espnet_asr_transformer_ctc_attention	9946	m4751	b59b3e46867e6c1828c51365a6010d8bdfd123e4a1ee5607f8d2d5f6b40ec7c5	skipped:dependency_unavailable	0	false	forward	0.000	espnet2	dependency missing and --no-install-deps set: espnet2
espnet_tts_transformer_tts	9953	m4786	171c02ae0beb5110b4d9e8d3a290d38f3b6e63deffcb21c037f16b3a74c067a6	skipped:dependency_unavailable	0	false	forward	0.000	espnet2	dependency missing and --no-install-deps set: espnet2
gvp_gnn	3719	m5279	b1a3cc3b47643c1780e55e181ac2b8d65f5f6a57a2555b638dda21b68b7bc462	skipped:dependency_unavailable	0	false	forward	0.000	gvp	dependency missing and --no-install-deps set: gvp
lerobot_act	49	m5575	c7c374309b767fb594ed543d99d9d1fe3ba0a66b307e15c9fa20baf5712585bf	skipped:dependency_unavailable	0	false	forward	0.000	lerobot+torch	dependency missing and --no-install-deps set: lerobot
Pi0FAST_lerobot	318	m2181	20adc7bffbbecf7aecc6b7b96eca4678d6759cf7d78f563c9eba74afc8bb7152	skipped:dependency_unavailable	0	false	forward	0.000	lerobot+torch	dependency missing and --no-install-deps set: lerobot
LeRobot_DiffusionPolicy	1873	m1578	d5602db84ab8997879c6aff6c751309cf556d7dd0ae569ac5cfe711741602580	skipped:dependency_unavailable	0	false	forward	0.000	lerobot+torch	dependency missing and --no-install-deps set: lerobot
attngan_g_net	245	m3549	07b796d69e8338107eec591cfc391f7af8209b0bfdda2810424efaa9d439b59e	skipped:dependency_unavailable	0	false	forward	0.000	miscc	dependency missing and --no-install-deps set: miscc
controlgan_g_net	987	m3863	0c0af899fccb0bfac80f365f125116d9f855458de4774db9a8464f6b6e03e4ad	skipped:dependency_unavailable	0	false	forward	0.000	miscc+torch	dependency missing and --no-install-deps set: miscc
dm_gan_g_net	2033	m4344	0c0af899fccb0bfac80f365f125116d9f855458de4774db9a8464f6b6e03e4ad	skipped:dependency_unavailable	0	false	forward	0.000	miscc+torch	dependency missing and --no-install-deps set: miscc
mmdet:albu_example	115	m6375	71a310d2f1c163f235edad43599ea0ad549348844d4999d47e8959349b6d35be	skipped:dependency_unavailable	0	false	forward	0.000	mmdet+mmengine	dependency missing and --no-install-deps set: mmdet, mmengine
